# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.8606580555937327,3.832133726590399,-35.451640331230045,0,3.0,-0.5104656543306357,0.0,0.0,0.0
 0.06233868742649246,1.8654065270426123,3.8287527182203953,-35.451640331230045,0.1870160622794774,3.0,-0.5104656543306357,0.0,-6.61776623535138,0.0
 0.08801782368054602,1.8701143609279296,3.825379557603164,-35.62157885208511,0.264053471041638,2.9999999999999982,-0.5157070943439723,0.0,-8.699417362407711,0.0
 0.10762550430044032,1.8747818191369738,3.8220142520675267,-35.79215424930636,0.32287651290132097,3.000000000000002,-0.5209654558507907,0.0,-10.407761840209217,0.0
 0.12407505997610166,1.8794091635570336,3.8186568089423076,-35.96335730715591,0.372225179928305,3.0000000000000018,-0.5262392654163267,0.0,-11.91385661150269,0.0
 0.1384970175797986,1.883996656075398,3.8153072355563293,-36.13517844210352,0.41549105273939585,3.0000000000000018,-0.5315269889419886,0.0,-13.289144125893525,0.0
 0.15147221390978488,1.8885445585793563,3.811965539238414,-36.307607696194474,0.4544166417293547,3.0,-0.5368270302338448,0.0,-14.571811928863381,0.0
 0.16334630582940707,1.893053132956197,3.808631727317384,-36.48063473047324,0.49003891748822126,3.0,-0.5421377303453722,0.0,-15.785101746435076,0.0
 0.1743449101252594,1.8975226410932093,3.805305807122064,-36.65424881835205,0.5230347303757783,3.0000000000000027,-0.5474573660456237,0.0,-16.944368457251624,0.0
 0.1846250230260482,1.9019533448776822,3.8019877859812743,-36.82843883912516,0.5538750690781447,3.0,-0.5527841485504162,0.0,-18.060350195663073,0.0
 0.19430116054613633,1.9063455061969041,3.7986776712238397,-37.00319327127935,0.582903481638409,2.9999999999999916,-0.5581162226099228,0.0,-19.140876411023733,0.0
 0.20345993212107338,1.9106993869381645,3.795375470178581,-37.178500186072014,0.6103797963632202,3.0,-0.5634516652168364,0.0,-20.19183982322295,0.0
 0.21216874995885163,1.9150152489887522,3.792081190174322,-37.354347240902065,0.6365062498765548,2.9999999999999902,-0.5687884846787494,0.0,-21.2177865572864,0.0
 0.22048132448401364,1.919293354235956,3.7887948385398853,-37.53072167291849,0.6614439734520408,2.99999999999999,-0.5741246188368591,0.0,-22.222293079381004,0.0
 0.22844128698413435,1.9235339645670655,3.785516422604094,-37.70761029249705,0.6853238609524028,2.999999999999993,-0.5794579351202928,0.0,-23.208217098646497,0.0
 0.236084665346549,1.9277373418693686,3.7822459496957697,-37.88499947689907,0.7082539960396468,2.9999999999999964,-0.5847862282836471,0.0,-24.1778702878949,0.0
 0.24344162792510513,1.9319037480301549,3.7789834271437366,-38.062875163836296,0.7303248837753151,3.0,-0.5901072202291522,0.0,-25.133140676090083,0.0
 0.25053774391470635,1.9360334449367134,3.775728862276816,-38.24122284525679,0.7516132317441188,2.999999999999996,-0.5954185585036724,0.0,-26.075581449087338,0.0
 0.2573949147173295,1.9401266944763325,3.7724822624238317,-38.4200275610309,0.7721847441519883,3.000000000000016,-0.6007178156632418,0.0,-27.006476800212933,0.0
 0.2640320756141586,1.944183758536302,3.769243634913606,-38.599273892810395,0.7920962268424757,3.000000000000017,-0.6060024880823788,0.0,-27.926891628681187,0.0
 0.27046573344945923,1.9482048990039098,3.7660129870749617,-38.77894595795285,0.8113972003483777,3.0000000000000084,-0.6112699950022058,0.0,-28.83770965226377,0.0
 0.27671038490300587,1.9521903777664456,3.762790326236721,-38.95902740344982,0.8301311547090177,3.000000000000009,-0.616517677835248,0.0,-29.739663086192934,0.0
 0.28277884627272987,1.9561404567111982,3.7595756597277075,-39.139501400036984,0.8483365388181897,3.0000000000000093,-0.6217427993199653,0.0,-30.633356014140936,0.0
 0.28868251664563427,1.9600553977254562,3.756368994876744,-39.320350636360295,0.8660475499369029,3.0,-0.6269425426852205,0.0,-31.519283017232016,0.0
 0.2944315902132576,1.9639354626965093,3.753170339012652,-39.501557313225106,0.8832947706397728,2.999999999999981,-0.6321140107393942,0.0,-32.3978441824911,0.0
 0.30003522926202464,1.9677809135116455,3.749979699464255,-39.68310313798198,0.9001056877860738,2.99999999999998,-0.6372542255816709,0.0,-33.269357292139695,0.0
 0.3055017063994758,1.9715920120581547,3.746797083560376,-39.86496931899716,0.9165051191984275,3.0000000000000204,-0.6423601272023086,0.0,-34.134067829500715,0.0
 0.3108385224570935,1.9753690202233252,3.7436224986298376,-40.047136560301446,0.9325155673712805,3.00000000000001,-0.6474285741271248,0.0,-34.992157226383874,0.0
 0.31605250497416687,1.979112199894446,3.740455952001462,-40.2295850563145,0.9481575149225006,2.9999999999999787,-0.6524563413480299,0.0,-35.843749730107,0.0
 0.32114989103887254,1.9828218129588062,3.7372974510040726,-40.412294486695544,0.9634496731166176,3.0,-0.6574401212183666,0.0,-36.68891817271537,0.0
 0.32613639742392325,1.9864981213036947,3.734147002966491,-40.59524401142439,0.9784091922717696,2.999999999999978,-0.6623765217735905,0.0,-37.527688792861234,0.0
 0.33101728032326944,1.9901413868164004,3.731004615217542,-40.77841226590545,0.9930518409698081,3.0,-0.6672620675454511,0.0,-38.36004537102099,0.0
 0.3357973865169368,1.9937518713842124,3.7278702950860465,-40.961777356372835,1.0073921595508102,2.9999999999999885,-0.6720931985909024,0.0,-39.18593270250968,0.0
